director_name,actor_1_name,actor_2_name,actor_3_name,Genre,movie_title,comb
Armando Iannucci, Steve Buscemi,"Buscemi,",Paddy Considine,Comedy Drama History,the death of stalin," Steve Buscemi Buscemi, Paddy Considine Armando Iannucci Comedy Drama History"
Paolo Virzì, Donald Sutherland,"Sutherland,",unknown,Drama Romance Adventure,the leisure seeker," Donald Sutherland Sutherland, unknown Paolo Virzì Drama Romance Adventure"
Johannes Roberts, Christina Hendricks,"Hendricks,",Bailee Madison,Horror Thriller,the strangers: prey at night," Christina Hendricks Hendricks, Bailee Madison Johannes Roberts Horror Thriller"
Rob Cohen, Toby Kebbell,"Kebbell,",Ryan Kwanten,Action Crime Thriller,the hurricane heist," Toby Kebbell Kebbell, Ryan Kwanten Rob Cohen Action Crime Thriller"
Roar Uthaug, Alicia Vikander,"Vikander,",Walton Goggins,Action Adventure Fantasy,tomb raider," Alicia Vikander Vikander, Walton Goggins Roar Uthaug Action Adventure Fantasy"
Greg Berlanti, Nick Robinson,"Robinson,",Alexandra Shipp,Comedy Drama Romance,"love, simon"," Nick Robinson Robinson, Alexandra Shipp Greg Berlanti Comedy Drama Romance"
Jon Erwin, Cloris Leachman,"Leachman,",Priscilla Shirer,Music Drama,i can only imagine," Cloris Leachman Leachman, Priscilla Shirer Jon Erwin Music Drama"
José Padilha, Rosamund Pike,"Pike,",Vincent Cassel,Thriller Drama Crime,7 days in entebbe," Rosamund Pike Pike, Vincent Cassel José Padilha Thriller Drama Crime"
Laurie Collyer, Melissa Leo,"Leo,",La La Anthony,Comedy,furlough," Melissa Leo Leo, La La Anthony Laurie Collyer Comedy"
Eric England, Sophie Turner,"Turner,",Jack Kilmer,Comedy Music,josie," Sophie Turner Turner, Jack Kilmer Eric England Comedy Music"
Max Winkler, Zoey Deutch,"Deutch,",Tim Heidecker,Drama Comedy,flower," Zoey Deutch Deutch, Tim Heidecker Max Winkler Drama Comedy"
Steven S. DeKnight, John Boyega,"Boyega,",Cailee Spaeny,Action Fantasy Science Fiction Adventure,pacific rim: uprising," John Boyega Boyega, Cailee Spaeny Steven S. DeKnight Action Fantasy Science Fiction Adventure"
Wes Anderson, Bryan Cranston,"Cranston,",Bill Murray,Adventure Comedy Animation,isle of dogs," Bryan Cranston Cranston, Bill Murray Wes Anderson Adventure Comedy Animation"
John Stevenson, James McAvoy,"McAvoy,",Johnny Depp,Animation Family Fantasy Comedy Adventure Mystery,sherlock gnomes," James McAvoy McAvoy, Johnny Depp John Stevenson Animation Family Fantasy Comedy Adventure Mystery"
Steven Soderbergh, Claire Foy,"Foy,",Jay Pharoah,Horror Thriller,unsane," Claire Foy Foy, Jay Pharoah Steven Soderbergh Horror Thriller"
Andrew Hyatt, James Faulkner,"Faulkner,",Olivier Martinez,History Drama,"paul, apostle of christ"," James Faulkner Faulkner, Olivier Martinez Andrew Hyatt History Drama"
Stanley Tucci, Geoffrey Rush,"Rush,",Clémence Poésy,Drama History,final portrait," Geoffrey Rush Rush, Clémence Poésy Stanley Tucci Drama History"
Scott Speer, Bella Thorne,"Thorne,",Rob Riggle,Romance Drama,midnight sun," Bella Thorne Thorne, Rob Riggle Scott Speer Romance Drama"
Ryan Justice, Amanda Delaney,"Delaney,",Sean Michael Gloria,Thriller,followers," Amanda Delaney Delaney, Sean Michael Gloria Ryan Justice Thriller"
Steven Spielberg, Tye Sheridan,"Sheridan,",Ben Mendelsohn,Science Fiction Adventure Action,ready player one," Tye Sheridan Sheridan, Ben Mendelsohn Steven Spielberg Science Fiction Adventure Action"
Tyler Perry, Taraji P. Henson,P.,Tika Sumpter,Thriller,tyler perry's acrimony, Taraji P. Henson P. Tika Sumpter Tyler Perry Thriller
Michael Mason, David A. R. White,A.,Shane Harper,Drama,god's not dead: a light in darkness, David A. R. White A. Shane Harper Michael Mason Drama
Aaron Katz, Lola Kirke,"Kirke,",Greta Lee,Science Fiction Action Drama Thriller,gemini," Lola Kirke Kirke, Greta Lee Aaron Katz Science Fiction Action Drama Thriller"
Adam Rifkin, Burt Reynolds,"Reynolds,",Clark Duke,Drama,the last movie star," Burt Reynolds Reynolds, Clark Duke Adam Rifkin Drama"
John Krasinski, John Krasinski,"Krasinski,",Millicent Simmonds,Horror Drama Science Fiction,a quiet place," John Krasinski Krasinski, Millicent Simmonds John Krasinski Horror Drama Science Fiction"
Kay Cannon, Leslie Mann,"Mann,",John Cena,Comedy,blockers," Leslie Mann Mann, John Cena Kay Cannon Comedy"
Lynne Ramsay, Joaquin Phoenix,"Phoenix,",Alex Manette,Thriller Drama,you were never really here," Joaquin Phoenix Phoenix, Alex Manette Lynne Ramsay Thriller Drama"
John Curran, Jason Clarke,"Clarke,",Ed Helms,Drama Thriller History,chappaquiddick," Jason Clarke Clarke, Ed Helms John Curran Drama Thriller History"
"Drew Fellman, David Douglas", Kristen Bell,unknown,unknown,Documentary,pandas," Kristen Bell unknown unknown Drew Fellman, David Douglas Documentary"
Andrew Haigh, Charlie Plummer,"Plummer,",Travis Fimmel,Drama Adventure,lean on pete," Charlie Plummer Plummer, Travis Fimmel Andrew Haigh Drama Adventure"
Sean McNamara, Helen Hunt,"Hunt,",Erin Moriarty,Drama,the miracle season," Helen Hunt Hunt, Erin Moriarty Sean McNamara Drama"
Brad Anderson, Jon Hamm,"Hamm,",Dean Norris,Action Thriller Drama,beirut," Jon Hamm Hamm, Dean Norris Brad Anderson Action Thriller Drama"
Brad Peyton, Dwayne Johnson,"Johnson,",Malin Åkerman,Action,rampage," Dwayne Johnson Johnson, Malin Åkerman Brad Peyton Action"
Jeff Wadlow, Lucy Hale,"Hale,",Violett Beane,Thriller Horror,truth or dare," Lucy Hale Hale, Violett Beane Jeff Wadlow Thriller Horror"
Chloé Zhao, Brady Jandreau,unknown,unknown,Western Drama,the rider, Brady Jandreau unknown unknown Chloé Zhao Western Drama
Richard Lanni, Logan Lerman,"Lerman,",Gérard Depardieu,Animation Adventure Family History War,sgt. stubby: an american hero," Logan Lerman Lerman, Gérard Depardieu Richard Lanni Animation Adventure Family History War"
"Abby Kohn, Marc Silverstein", Amy Schumer,"Schumer,",Emily Ratajkowski,Comedy Romance,i feel pretty," Amy Schumer Schumer, Emily Ratajkowski Abby Kohn, Marc Silverstein Comedy Romance"
Jay Chandrasekhar, Jay Chandrasekhar,"Chandrasekhar,",Steve Lemme,Comedy Crime Mystery,super troopers 2," Jay Chandrasekhar Chandrasekhar, Steve Lemme Jay Chandrasekhar Comedy Crime Mystery"
Deon Taylor, Paula Patton,"Patton,",Missi Pyle,Horror Thriller,traffik," Paula Patton Patton, Missi Pyle Deon Taylor Horror Thriller"
Peter Livolsi, Asa Butterfield,"Butterfield,",Ellen Burstyn,Drama,the house of tomorrow," Asa Butterfield Butterfield, Ellen Burstyn Peter Livolsi Drama"
Naoko Yamada, Atsumi Tanezaki,"Tanezaki,",unknown,Animation Drama Music,liz and the blue bird," Atsumi Tanezaki Tanezaki, unknown Naoko Yamada Animation Drama Music"
Anthony Russo and Joe Russo, Robert Downey Jr.,Downey,Mark Ruffalo,Adventure Action Science Fiction,avengers: infinity war, Robert Downey Jr. Downey Mark Ruffalo Anthony Russo and Joe Russo Adventure Action Science Fiction
Sebastián Lelio, Rachel Weisz,"Weisz,",Alessandro Nivola,Drama Romance,disobedience," Rachel Weisz Weisz, Alessandro Nivola Sebastián Lelio Drama Romance"
Per Fly, Ben Kingsley,"Kingsley,",Jacqueline Bisset,Thriller Drama History,backstabbing for beginners," Ben Kingsley Kingsley, Jacqueline Bisset Per Fly Thriller Drama History"
Deniz Gamze Ergüven, Halle Berry,"Berry,",unknown,Adventure Drama Action,kings," Halle Berry Berry, unknown Deniz Gamze Ergüven Adventure Drama Action"
"Rob Greenberg, Bob Fisher (directors/screenplay); Anna Faris, Eugenio Derbez, Eva Longoria, John Hannah, Josh Segarra, Mel Rodriguez", Anna Faris,"Faris,",Eva Longoria,Romance Comedy,overboard," Anna Faris Faris, Eva Longoria Rob Greenberg, Bob Fisher (directors/screenplay); Anna Faris, Eugenio Derbez, Eva Longoria, John Hannah, Josh Segarra, Mel Rodriguez Romance Comedy"
Jason Reitman, Charlize Theron,"Theron,",Mark Duplass,Drama,tully," Charlize Theron Theron, Mark Duplass Jason Reitman Drama"
Dean Devlin, David Tennant,"Tennant,",Carlito Olivero,Thriller Crime Horror,bad samaritan," David Tennant Tennant, Carlito Olivero Dean Devlin Thriller Crime Horror"
Bobby Miller, Johnny Galecki,"Galecki,",Oliver Platt,Drama Comedy Fantasy,the cleanse," Johnny Galecki Galecki, Oliver Platt Bobby Miller Drama Comedy Fantasy"
Xavier Beauvois, Nathalie Baye,unknown,unknown,Family Animation Fantasy Action Adventure,the guardians, Nathalie Baye unknown unknown Xavier Beauvois Family Animation Fantasy Action Adventure
Ben Falcone, Melissa McCarthy,"McCarthy,",Molly Gordon,Comedy,life of the party," Melissa McCarthy McCarthy, Molly Gordon Ben Falcone Comedy"
James McTeigue, Gabrielle Union,"Union,",Richard Cabral,Thriller Crime Action Horror,breaking in," Gabrielle Union Union, Richard Cabral James McTeigue Thriller Crime Action Horror"
Michael Mayer, Saoirse Ronan,"Ronan,",Corey Stoll,Drama Romance Comedy,the seagull," Saoirse Ronan Ronan, Corey Stoll Michael Mayer Drama Romance Comedy"
Vaughn Stein, Margot Robbie,"Robbie,",Dexter Fletcher,Crime Drama Thriller,terminal," Margot Robbie Robbie, Dexter Fletcher Vaughn Stein Crime Drama Thriller"
Coralie Fargeat, Matilda Lutz,"Lutz,",Vincent Colombe,Fantasy Action Adventure Animation,revenge," Matilda Lutz Lutz, Vincent Colombe Coralie Fargeat Fantasy Action Adventure Animation"
David Leitch, Ryan Reynolds,"Reynolds,",Zazie Beetz,Action Comedy Adventure,deadpool 2," Ryan Reynolds Reynolds, Zazie Beetz David Leitch Action Comedy Adventure"
Bill Holderman, Jane Fonda,"Fonda,",Mary Steenburgen,Comedy Romance Drama,book club," Jane Fonda Fonda, Mary Steenburgen Bill Holderman Comedy Romance Drama"
Paul Schrader, Ethan Hawke,"Hawke,",Cedric Kyles,Drama,first reformed," Ethan Hawke Hawke, Cedric Kyles Paul Schrader Drama"
Wim Wenders,Wim Wenders (director); Pope Francis,unknown,unknown,Documentary,pope francis: a man of his word,Wim Wenders (director); Pope Francis unknown unknown Wim Wenders Documentary
Raja Gosnell, Will Arnett,"Arnett,",Ludacris,Adventure Crime Family Comedy,show dogs," Will Arnett Arnett, Ludacris Raja Gosnell Adventure Crime Family Comedy"
Ron Howard, Alden Ehrenreich,"Ehrenreich,",Emilia Clarke,Science Fiction Adventure,solo: a star wars story," Alden Ehrenreich Ehrenreich, Emilia Clarke Ron Howard Science Fiction Adventure"
John Cameron Mitchell, Elle Fanning,"Fanning,",Nicole Kidman,Comedy Music Romance Science Fiction,how to talk to girls at parties," Elle Fanning Fanning, Nicole Kidman John Cameron Mitchell Comedy Music Romance Science Fiction"
Anthony Byrne, Natalie Dormer,"Dormer,",Ed Skrein,Thriller Mystery,in darkness," Natalie Dormer Dormer, Ed Skrein Anthony Byrne Thriller Mystery"
Bruce LaBruce, Susanne Sachße,"Sachße,",Kembra Pfahler,Drama,the misandrists," Susanne Sachße Sachße, Kembra Pfahler Bruce LaBruce Drama"
"James Franco, Bruce Thierry Cheung", James Franco,"Franco,",Jeffrey Wahlberg,Science Fiction,future world," James Franco Franco, Jeffrey Wahlberg James Franco, Bruce Thierry Cheung Science Fiction"
Tim Kirkby, Johnny Knoxville,"Knoxville,",unknown,Comedy Drama,action point," Johnny Knoxville Knoxville, unknown Tim Kirkby Comedy Drama"
Baltasar Kormákur, Shailene Woodley,"Woodley,",unknown,Thriller Romance Adventure,adrift," Shailene Woodley Woodley, unknown Baltasar Kormákur Thriller Romance Adventure"
Leigh Whannell, Logan Marshall-Green,"Marshall-Green,",Harrison Gilbertson,Action Thriller Science Fiction,upgrade," Logan Marshall-Green Marshall-Green, Harrison Gilbertson Leigh Whannell Action Thriller Science Fiction"
Bart Layton, Evan Peters,"Peters,",Blake Jenner,Drama Crime Documentary,american animals," Evan Peters Peters, Blake Jenner Bart Layton Drama Crime Documentary"
Theresa Bennett, Noël Wells,"Wells,",Aya Cash,Comedy Romance,social animals," Noël Wells Wells, Aya Cash Theresa Bennett Comedy Romance"
Gary Ross, Sandra Bullock,"Bullock,",Anne Hathaway,Crime Comedy Action,ocean's 8," Sandra Bullock Bullock, Anne Hathaway Gary Ross Crime Comedy Action"
Morgan Neville,Morgan Neville (director); Fred Rogers,unknown,unknown,Documentary,won't you be my neighbor?,Morgan Neville (director); Fred Rogers unknown unknown Morgan Neville Documentary
Ari Aster, Toni Collette,"Collette,",Milly Shapiro,Horror Mystery Thriller,hereditary," Toni Collette Collette, Milly Shapiro Ari Aster Horror Mystery Thriller"
Drew Pearce, Jodie Foster,"Foster,",Sofia Boutella,Thriller Science Fiction Action,hotel artemis," Jodie Foster Foster, Sofia Boutella Drew Pearce Thriller Science Fiction Action"
Director X, Trevor Jackson,"Jackson,",Michael K. Williams,Action Crime,superfly," Trevor Jackson Jackson, Michael K. Williams Director X Action Crime"
Brad Bird, Craig T. Nelson,T.,Sarah Vowell,Action Adventure Animation Family,incredibles 2, Craig T. Nelson T. Sarah Vowell Brad Bird Action Adventure Animation Family
Jeff Tomsic, Ed Helms,"Helms,",Jon Hamm,Comedy Drama,tag," Ed Helms Helms, Jon Hamm Jeff Tomsic Comedy Drama"
Dominic Cooke, Saoirse Ronan,"Ronan,",Emily Watson,Drama Romance,on chesil beach," Saoirse Ronan Ronan, Emily Watson Dominic Cooke Drama Romance"
Kevin Connolly, John Travolta,"Travolta,",Stacy Keach,Crime Drama History Thriller,gotti," John Travolta Travolta, Stacy Keach Kevin Connolly Crime Drama History Thriller"
J.A. Bayona, Chris Pratt,"Pratt,",Rafe Spall,Action Adventure Science Fiction,jurassic world: fallen kingdom," Chris Pratt Pratt, Rafe Spall J.A. Bayona Action Adventure Science Fiction"
Shana Feste, Vera Farmiga,"Farmiga,",Lewis MacDougall,Comedy Drama,boundaries," Vera Farmiga Farmiga, Lewis MacDougall Shana Feste Comedy Drama"
"David Zellner, Nathan Zellner (directors/screenplay); Robert Pattinson, Mia Wasikowska", Robert Pattinson,"Pattinson,",unknown,Comedy Western,damsel," Robert Pattinson Pattinson, unknown David Zellner, Nathan Zellner (directors/screenplay); Robert Pattinson, Mia Wasikowska Comedy Western"
Mike P. Nelson, Tyler Hoechlin,"Hoechlin,",Lance Reddick,Thriller Horror,the domestics," Tyler Hoechlin Hoechlin, Lance Reddick Mike P. Nelson Thriller Horror"
Stefano Sollima, Benicio del Toro,del,Isabela Moner,Action Crime Drama Thriller,sicario: day of the soldado, Benicio del Toro del Isabela Moner Stefano Sollima Action Crime Drama Thriller
Debra Granik, Ben Foster,"Foster,",Jeff Kober,Drama,leave no trace," Ben Foster Foster, Jeff Kober Debra Granik Drama"
Charles Stone III, Kyrie Irving,"Irving,",Shaquille O'Neal,Comedy,uncle drew," Kyrie Irving Irving, Shaquille O'Neal Charles Stone III Comedy"
Susanna White, Jessica Chastain,"Chastain,",Chaske Spencer,Drama History Western,woman walks ahead," Jessica Chastain Chastain, Chaske Spencer Susanna White Drama History Western"
Gerard McMurray, Y'lan Noel,"Noel,",Joivan Wade,Action Science Fiction Thriller Horror Crime,the first purge," Y'lan Noel Noel, Joivan Wade Gerard McMurray Action Science Fiction Thriller Horror Crime"
Peyton Reed, Paul Rudd,"Rudd,",Michael Peña,Action Adventure Science Fiction,ant-man and the wasp," Paul Rudd Rudd, Michael Peña Peyton Reed Action Adventure Science Fiction"
Boots Riley, Lakeith Stanfield,"Stanfield,",Armie Hammer,Fantasy Science Fiction Comedy,sorry to bother you," Lakeith Stanfield Stanfield, Armie Hammer Boots Riley Fantasy Science Fiction Comedy"
Kevin MacDonald, Whitney Houston,unknown,unknown,Music Documentary,whitney, Whitney Houston unknown unknown Kevin MacDonald Music Documentary
Genndy Tartakovsky, Adam Sandler,"Sandler,",Selena Gomez,Family Fantasy Comedy Animation,hotel transylvania 3: summer vacation," Adam Sandler Sandler, Selena Gomez Genndy Tartakovsky Family Fantasy Comedy Animation"
Rawson Marshall Thurber, Dwayne Johnson,"Johnson,",Chin Han,Action,skyscraper," Dwayne Johnson Johnson, Chin Han Rawson Marshall Thurber Action"
Bo Burnham, Elsie Fisher,"Fisher,",Emily Robinson,Comedy Drama,eighth grade," Elsie Fisher Fisher, Emily Robinson Bo Burnham Comedy Drama"
Gus Van Sant, Joaquin Phoenix,"Phoenix,",Jonah Hill,Comedy Drama,"don't worry, he won't get far on foot"," Joaquin Phoenix Phoenix, Jonah Hill Gus Van Sant Comedy Drama"
Rob Reiner, Woody Harrelson,"Harrelson,",James Marsden,Drama History Thriller,shock and awe," Woody Harrelson Harrelson, James Marsden Rob Reiner Drama History Thriller"
Ol Parker, Lily James,"James,",Pierce Brosnan,Comedy Romance,mamma mia! here we go again," Lily James James, Pierce Brosnan Ol Parker Comedy Romance"
Antoine Fuqua, Denzel Washington,"Washington,",Pedro Pascal,Action Thriller Crime,the equalizer 2," Denzel Washington Washington, Pedro Pascal Antoine Fuqua Action Thriller Crime"
Carlos López Estrada, Janina Gavankar,"Gavankar,",Daveed Diggs,Comedy Drama,blindspotting," Janina Gavankar Gavankar, Daveed Diggs Carlos López Estrada Comedy Drama"
Stephen Susco, Colin Woodell,"Woodell,",Betty Gabriel,Horror Mystery Thriller,unfriended: dark web," Colin Woodell Woodell, Betty Gabriel Stephen Susco Horror Mystery Thriller"
Shinsuke Sato,Shinsuke Sato (director); Sota Fukushi,Sato,unknown,Action Fantasy Adventure,bleach,Shinsuke Sato (director); Sota Fukushi Sato unknown Shinsuke Sato Action Fantasy Adventure
Édouard Deluc, Vincent Cassel,"Cassel,",Malik Zidi,Drama Romance,gauguin – voyage de tahiti," Vincent Cassel Cassel, Malik Zidi Édouard Deluc Drama Romance"
Christopher McQuarrie, Tom Cruise,"Cruise,",Ving Rhames,Action Adventure,mission: impossible – fallout," Tom Cruise Cruise, Ving Rhames Christopher McQuarrie Action Adventure"
Peter Rida Michail, Scott Menville,"Menville,",Tara Strong,Animation Action Comedy Science Fiction,teen titans go! to the movies," Scott Menville Menville, Tara Strong Peter Rida Michail Animation Action Comedy Science Fiction"
Tsui Hark,Tsui Hark (director),Hark,Chen Kuo-Fu (screenplay),Mystery Fantasy Adventure Action,detective dee: the four heavenly kings,Tsui Hark (director) Hark Chen Kuo-Fu (screenplay) Tsui Hark Mystery Fantasy Adventure Action
